DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.27884,-53.29808,17.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.27751,-53.2887,78.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.27618,-53.27932,26.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.27127,-53.37614,48.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.22402,-53.30293,35.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.22268,-53.29354,28.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.21879,-53.59469,71.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.21772,-53.65402,13.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.2176,-53.32299,9.1
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.21744,-53.58508,60.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.20957,-53.59595,36.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.20822,-53.58637,14.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.20819,-53.2572,40.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.20687,-53.248,24.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.19777,-53.24922,25.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.17581,-53.29047,12.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.17546,-53.1577,10.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.17414,-53.14843,19.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.16769,-53.54898,26.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.13875,-53.54332,11.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.13151,-53.69183,20.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.58278,-52.97308,26.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.57414,-52.98086,11.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.31129,-52.94684,13.2
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.28533,-52.95623,10.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.27765,-52.96668,12.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.27632,-52.9575,36.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.27502,-52.94843,23.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.23476,-52.79605,6.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.22725,-52.87142,23.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.22074,-52.82591,13.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.21944,-52.81682,36.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.1726,-53.07308,13.6
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.17128,-53.06387,32.6
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.16166,-52.86885,78.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.16034,-52.85973,57.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.145,-52.88047,17.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.04824,-52.84449,11.2
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.07779,-53.56849,11.6
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.07723,-53.69633,14.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.07584,-53.68661,77.6
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.06107,-53.64886,17.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.05973,-53.63945,9.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.0584,-53.63003,11.6
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.05663,-53.8183,12.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.03804,-53.48664,10.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.03178,-53.24755,20.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,,,,-6.03046,-53.23832,42.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-6.02466,-53.64027,8.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-5.99306,-53.30087,20.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-5.97282,-53.54052,14.6
