alimento,calorias,proteinas,gordura,colesterol,carboidratos,fibras,calcio,magnesio,fosforo,ferro,sodio,potassio,cobre,zinco,grupoAlimentar
"Queijo, requeijão, cremoso",257,"9,6","23,4",74,"2,4",,259,12,448,"0,1",558,93,"0,05","1,3",Leites e derivados
"Queijo, ricota",140,"12,6","8,1",49,"3,8",,253,12,162,"0,1",283,112,,"0,5",Leites e derivados
"Bebida isotônica, sabores variados",26,"0,0","0,0",,"6,4",,1,,9,"0,7",44,13,,,Bebidas (alcoólicas e não alcoólicas)
"Café, infusão 10%",9,"0,7","0,1",,"1,5",,3,10,9,,1,156,"0,01",,Bebidas (alcoólicas e não alcoólicas)
"Ca, aguardente 1",216,,,,,,,,,,3,,"0,06",,Bebidas (alcoólicas e não alcoólicas)
"Ca, caldo de",65,,,,"18,2","0,1",9,12,5,"0,8",,18,"0,01","0,1",Bebidas (alcoólicas e não alcoólicas)
"Cerveja, pilsen 2",41,"0,6",,,"3,3",,5,7,19,,4,29,,,Bebidas (alcoólicas e não alcoólicas)
"Chá, erva-doce, infusão 5%",1,"0,0","0,0",,"0,4",,2,1,1,,1,10,"0,01",,Bebidas (alcoólicas e não alcoólicas)
"Chá, mate, infusão 5%",3,"0,0","0,1",,"0,6",,1,2,,,,5,,,Bebidas (alcoólicas e não alcoólicas)
"Chá, preto, infusão 5%",2,"0,0","0,0",,"0,6",,0,1,2,,,13,,,Bebidas (alcoólicas e não alcoólicas)
"Coco, água de",22,"0,0","0,0",,"5,3","0,1",19,5,4,,2,162,,,Bebidas (alcoólicas e não alcoólicas)
"Refrigerante, tipo água tônica",31,"0,0","0,0",,"8,0",,1,,0,,8,2,,,Bebidas (alcoólicas e não alcoólicas)
"Refrigerante, tipo cola",34,"0,0","0,0",,"8,7",,1,,17,,7,1,,,Bebidas (alcoólicas e não alcoólicas)
"Refrigerante, tipo guaraná",39,"0,0","0,0",,"10,0",,1,,,,9,1,,,Bebidas (alcoólicas e não alcoólicas)
"Refrigerante, tipo laranja",46,"0,0","0,0",,"11,8",,2,1,1,,9,16,,,Bebidas (alcoólicas e não alcoólicas)
"Refrigerante, tipo limão",40,"0,0","0,0",,"10,3",,2,1,,,9,4,,,Bebidas (alcoólicas e não alcoólicas)
"Omelete, de queijo",268,"15,6","22,0",384,"0,4",,166,14,314,"1,4",216,127,"0,03","1,4",Ovos e derivados
"Ovo, de codor, inteiro, cru",177,"13,7","12,7",568,"0,8",,79,11,279,"3,3",129,79,"0,04","2,1",Ovos e derivados
"Ovo, de galinha, clara, cozida/10minutos",59,"13,4","0,1",,"0,0",,6,11,15,"0,1",181,146,"0,03",,Ovos e derivados
"Ovo, de galinha, gema, cozida/10minutos",353,"15,9","30,8",1272,"1,6",,114,9,386,"2,9",45,87,,"2,9",Ovos e derivados
"Ovo, de galinha, inteiro, cozido/10minutos",146,"13,3","9,5",397,"0,6",,49,11,184,"1,5",146,139,"0,04","1,2",Ovos e derivados
"Ovo, de galinha, inteiro, cru",143,"13,0","8,9",356,"1,6",,42,13,164,"1,6",168,150,"0,06","1,1",Ovos e derivados
"Ovo, de galinha, inteiro, frito",240,"15,6","18,6",516,"1,2",,73,16,422,"2,1",166,184,"0,04","1,5",Ovos e derivados
"Achocolatado, pó",401,"4,2","2,2",,"91,2","3,9",44,77,200,"5,4",65,496,"0,56","1,0",Produtos açucarados
"Açúcar, cristal",387,"0,3",,,"99,6",,8,1,,"0,2",,3, ,,Produtos açucarados
"Açúcar, mascavo",369,"0,8","0,1",,"94,5",,127,80,38,"8,3",25,522,"0,17","0,5",Produtos açucarados
"Açúcar, refido",387,"0,3",,,"99,5",,4,1,,"0,1",12,6, ,,Produtos açucarados
"Chocolate, ao leite",540,"7,2","30,3",17,"59,6","2,2",191,57,212,"1,6",77,355,"0,31","1,1",Produtos açucarados
"Chocolate, ao leite, com castanha do Pará",559,"7,4","34,2",16,"55,4","2,5",171,80,303,"1,5",64,431,"0,45","1,3",Produtos açucarados
"Chocolate, ao leite, dietético",557,"6,9","33,8",13,"56,3","2,8",188,67,276,"3,3",85,458,"0,43","1,1",Produtos açucarados
"Chocolate, meio amargo",475,"4,9","29,9",2,"62,4","4,9",45,107,220,"3,6",9,432,"0,77","1,5",Produtos açucarados
Cocada branca,449,"1,1","13,6",,"81,4","3,6",7,17,396,"1,2",29,183,"0,20","0,4",Produtos açucarados
"Doce, de abóbora, cremoso",199,"0,9","0,2",,"54,6","2,3",13,6,14,"0,9",,137,,,Produtos açucarados
"Doce, de leite, cremoso",306,"5,5","6,0",20,"59,5",,195,16,141,"0,1",120,259,"0,02","0,5",Produtos açucarados
"Geléia, mocotó, tural",106,"2,1","0,1",,"24,2",,4,1,,"0,1",43,2,,,Produtos açucarados
Glicose de milho,292,"0,0","0,0",,"79,4",,6,2,5,"0,1",59,5,,,Produtos açucarados
Maria mole,301,"3,8","0,2",,"73,6","0,7",13,7,4,"0,4",15,24,"0,20","0,1",Produtos açucarados
"Maria mole, coco queimado",307,"3,9","0,1",,"75,1","0,6",19,6,5,"0,5",14,36,"0,03","0,1",Produtos açucarados
Marmelada,257,"0,4","0,1",,"70,8","4,1",11,6,20,"0,7",11,83,"0,09","0,1",Produtos açucarados
"Mel, de abelha",309,"0,0","0,0",,"84,0",,10,6,4,"0,3",6,99,,"0,2",Produtos açucarados
Melado,297,"0,0","0,0",,"76,6",,102,115,74,"5,4",4,395,"0,84","0,3",Produtos açucarados
Quindim,411,"4,7","24,4",271,"46,3","3,2",37,15,168,"1,4",27,111,"0,10","1,1",Produtos açucarados
Rapadura,352,"1,0","0,1",,"90,8",,30,47,21,"4,4",22,459,"0,17","0,6",Produtos açucarados
"Café, pó, torrado",419,"14,7","11,9",,"65,8","51,2",107,165,169,"8,1",1,1609,"1,30","0,5",Miscelâneas
"Capuccino, pó",417,"11,3","8,6",29,"73,6","2,4",467,71,358,"2,3",382,886,,"1,1",Miscelâneas
"Fermento em pó, químico",90,"0,5","0,1",,"43,9",, , , , ,10052, , , ,Miscelâneas
"Fermento, biológico, levedura, tablete",90,"17,0","1,5",,"7,7","4,2",18,38,419,"2,6",40,576,"0,29","11,0",Miscelâneas
"Gelati, sabores variados, pó",380,"8,9",,,"89,2",,27,2,2,"0,3",235,7,,,Miscelâneas
"Sal, dietético",,,,,,,,,,,23432,20468,,,Miscelâneas
"Sal, grosso",,,,,,,,,,,39943,,,,Miscelâneas
Shoyu,61,"3,3","0,3",,"11,6",,15,24,47,"0,5",5024,165,,"0,2",Miscelâneas
Tempero a base de sal,21,"2,7","0,3",,"2,1","0,6",,,,,32560,,,,Miscelâneas
"Azeito, preta, conserva",194,"1,2","20,3",,"5,5","4,6",59,5,16,"5,5",1567,79,"0,25","0,3",Outros alimentos industrializados
"Azeito, verde, conserva",137,"0,9","14,2",,"4,1","3,8",46,4,5,"0,2",1347,20,"0,14","0,1",Outros alimentos industrializados
"Chantilly, spray, com gordura vegetal",315,"0,5","27,3",,"16,9",,2,1,16,,110,5,"0,01","0,1",Outros alimentos industrializados
"Leite, de coco",166,"1,0","18,4",,"2,2","0,7",6,17,26,"0,5",44,144,"0,16","0,3",Outros alimentos industrializados
"Maionese, adiciol com ovos",302,"0,6","30,5",42,"7,9",,3,1,14,"0,1",787,16,,"0,1",Outros alimentos industrializados
Acarajé,289,"8,3","19,9",25,"19,1","9,4",124,51,142,"1,9",305,354,"0,23","1,2",Alimentos preparados
Arroz carreteiro,154,"10,8","7,1",36,"11,6","1,5",13,9,48,"1,0",1622,87,"0,08","2,7",Alimentos preparados
"Baião de dois, arroz e feijão-de-corda",136,"6,2","3,2",4,"20,4","5,1",33,19,72,"0,6",93,157,"0,08","0,6",Alimentos preparados
Barreado,165,"18,3","9,5",60,"0,2","0,1",15,21,169,"2,4",48,295,"0,17","4,8",Alimentos preparados
"Bife à cavalo, com cona filé",291,"23,7","21,1",257,"0,0",,26,19,216,"2,1",83,272,"0,06","3,2",Alimentos preparados
Bolinho de arroz,274,"8,0","8,3",70,"41,7","2,7",24,13,87,"2,1",59,96,"0,13","0,9",Alimentos preparados
Camarão à baia,101,"7,9","6,0",117,"3,2","0,4",43,15,244,"1,4",85,139,"0,07","0,5",Alimentos preparados
"Charuto, de repolho",78,"6,8","1,1",21,"10,1","1,5",23,13,68,"0,9",12,184,"1,45","1,8",Alimentos preparados
"Cuscuz, de milho, cozido com sal",113,"2,2","0,7",,"25,3","2,1",2,3,23,"0,2",248,11,,"0,2",Alimentos preparados
"Cuscuz, paulista",142,"2,6","4,6",15,"22,5","2,4",14,5,26,"0,3",236,53,"0,05","0,2",Alimentos preparados
"Cuxá, molho",80,"5,6","3,6",58,"5,7","3,0",105,34,111,"0,9",1344,124,"0,17","0,6",Alimentos preparados
Dobradinha,125,"19,8","4,4",144,"0,0",,11,8,57,"1,0",29,58,"0,06","2,7",Alimentos preparados
Esogonofe de carne,173,"15,0","10,8",66,"3,0",,28,22,186,"2,7",123,322,"0,14","2,0",Alimentos preparados
Esogonofe de frango,157,"17,6","8,0",80,"2,6",,26,25,195,"1,5",99,307,"0,12","0,6",Alimentos preparados
Feijão opeiro mineiro,152,"10,2","6,8",68,"19,6","3,6",41,36,199,"2,2",365,349,"0,22","1,4",Alimentos preparados
L,117,"8,7","6,5",22,"11,6","5,1",32,32,105,"1,3",278,303,"0,15","0,8",Alimentos preparados
"Frango, com açafrão",113,"9,7","6,2",50,"4,1","0,2",13,16,167,"0,8",29,256,"0,02","0,5",Alimentos preparados
"Macarrão, molho bolognesa",120,"4,9","0,9",7,"22,5","0,8",11,10,54,"1,4",9,84,"0,09","0,8",Alimentos preparados
Maniçoba,134,"10,0","8,7",43,"3,4","2,2",66,24,55,"3,2",407,148,"0,16","2,0",Alimentos preparados
Quibebe,86,"8,6","2,7",,"6,6","1,7",8,10,43,"0,8",247,153,"0,61","1,6",Alimentos preparados
"Salada, de legumes, com maionese",96,"1,1","7,0",7,"8,9","2,2",12,9,22,"0,2",228,141,"0,04","0,2",Alimentos preparados
"Salada, de legumes, cozida no vapor",35,"2,0","0,3",,"7,1","2,5",33,19,45,"0,4",3,244,"0,17","0,3",Alimentos preparados
"Salpicão, de frango",148,"13,9","7,8",53,"4,6","0,4",9,13,103,"0,3",248,149,"0,08","0,4",Alimentos preparados
Sarapatel,123,"18,5","4,4",315,"1,1",,12,13,164,"7,2",216,199,"1,48","1,8",Alimentos preparados
Tabule,57,"2,0","1,2",,"10,6","2,1",19,18,35,"0,6",1,188,"0,12","0,6",Alimentos preparados
Tacacá,47,"7,0","0,4",71,"3,4","0,2",45,30,89,"0,9",1349,240,"0,22","0,8",Alimentos preparados
"Tapioca, com manteiga",348,"0,1","10,9",31,"63,6",,30,3,8,"0,2",158,19,"0,01","0,0",Alimentos preparados
"Tucupi, com pimenta-de-cheiro",27,"2,1","0,3",,"4,7","0,2",28,42,31,"1,1",5,391,"0,12","0,9",Alimentos preparados
Vaca atolada,145,"5,1","9,3",19,"10,1","2,3",63,16,72,"0,7",26,220,"0,12","1,2",Alimentos preparados
Vatapá,255,"6,0","23,2",44,"9,7","1,7",47,39,108,"1,4",880,209,"0,28","0,9",Alimentos preparados
Virado à paulista,307,"10,2","25,6",66,"14,1","2,2",41,22,135,"1,1",346,237,"0,07","1,0",Alimentos preparados
Yakisoba,113,"7,5","2,6",,"18,3","1,1",14,13,83,"0,6",794,159,"0,06","0,7",Alimentos preparados
"Amendoim, grão, cru",544,"27,2","43,9",,"20,3","8,0",,171,407,"2,5",,580,"0,78","3,2",Leguminosas e derivados
"Amendoim, torrado, salgado",606,"22,5","54,0",,"18,7","7,8",39,159,261,"1,3",376,496,"0,68","2,1",Leguminosas e derivados
"Ervilha, em vagem",88,"7,5","0,5",,"14,2","9,7",24,42,152,"1,4",,311,"0,20","1,2",Leguminosas e derivados
"Ervilha, enlatada, dreda",74,"4,6","0,4",,"13,4","5,1",22,23,79,"1,4",372,147,"0,14","0,9",Leguminosas e derivados
"Feijão, carioca, cozido",76,"4,8","0,5",,"13,6","8,5",27,42,87,"1,3",2,255,"0,19","0,7",Leguminosas e derivados
"Feijão, carioca, cru",329,"20,0","1,3",,"61,2","18,4",123,210,385,"8,0",,1352,"0,79","2,9",Leguminosas e derivados
"Feijão, fradinho, cozido",78,"5,1","0,6",,"13,5","7,5",17,38,85,"1,1",1,253,"0,10","1,1",Leguminosas e derivados
"Feijão, fradinho, cru",339,"20,2","2,4",,"61,2","23,6",78,178,355,"5,1",10,1083,"0,70","3,9",Leguminosas e derivados
"Feijão, jalo, cozido",93,"6,1","0,5",,"16,5","13,9",29,44,121,"1,9",1,348,"0,24","1,0",Leguminosas e derivados
"Feijão, jalo, cru",328,"20,1","0,9",,"61,5","30,3",98,170,427,"7,0",25,1276,"0,95","3,0",Leguminosas e derivados
"Feijão, preto, cozido",77,"4,5","0,5",,"14,0","8,4",29,40,88,"1,5",2,256,"0,20","0,7",Leguminosas e derivados
"Feijão, preto, cru",324,"21,3","1,2",,"58,8","21,8",111,188,471,"6,5",,1416,"0,83","2,9",Leguminosas e derivados
"Feijão, rajado, cozido",85,"5,5","0,4",,"15,3","9,3",29,42,113,"1,4",1,315,"0,23","0,9",Leguminosas e derivados
"Feijão, rajado, cru",326,"17,3","1,2",,"62,9","24,0",111,170,335,"18,6",14,1135,"0,84","2,6",Leguminosas e derivados
"Feijão, rosinha, cozido",68,"4,5","0,5",,"11,8","4,8",19,43,90,"1,2",2,241,"0,09","1,3",Leguminosas e derivados
"Feijão, rosinha, cru",337,"20,9","1,3",,"62,2","20,6",68,184,394,"5,3",24,1109,"0,60","4,0",Leguminosas e derivados
"Feijão, roxo, cozido",77,"5,7","0,5",,"12,9","11,5",23,34,106,"1,4",1,268,"0,22","1,0",Leguminosas e derivados
"Feijão, roxo, cru",331,"22,2","1,2",,"60,0","33,8",120,162,394,"6,9",10,1221,"1,04","3,3",Leguminosas e derivados
"Grão-de-bico, cru",355,"21,2","5,4",,"57,9","12,4",114,146,342,"5,4",5,1116,"0,67","3,2",Leguminosas e derivados
"Guandu, cru",344,"19,0","2,1",,"64,0","21,3",129,166,269,"1,9",2,1215,"0,57","2,0",Leguminosas e derivados
"Lentilha, cozida",93,"6,3","0,5",,"16,3","7,9",16,22,104,"1,5",1,220,"0,17","1,1",Leguminosas e derivados
"Lentilha, crua",339,"23,2","0,8",,"62,0","16,9",54,94,368,"7,0",,887,"0,83","3,5",Leguminosas e derivados
"Paçoca, amendoim",487,"16,0","26,1",,"52,4","7,3",22,101,198,"1,1",167,348,"0,38","1,6",Leguminosas e derivados
"Pé-de-moleque, amendoim",503,"13,2","28,0",,"54,7","3,4",27,108,171,"1,3",16,355,"0,43","1,4",Leguminosas e derivados
"Soja, farinha",404,"36,0","14,6",,"38,4","20,2",206,242,539,"13,1",6,1922,"1,29","4,5",Leguminosas e derivados
"Soja, exato solúvel, tural, fluido",39,"2,4","1,6",,"4,3","0,4",17,15,53,"0,4",57,121,"0,08","0,3",Leguminosas e derivados
"Soja, exato solúvel, pó",459,"35,7","26,2",,"28,5","7,3",359,216,647,"7,0",83,1607,"1,19","5,8",Leguminosas e derivados
"Soja, queijo (tofu)",64,"6,6","4,0",,"2,1","0,8",81,38,130,"1,4",1,182,"0,18","0,9",Leguminosas e derivados
"emoço, cru",381,"33,6","10,3",,"43,8","32,3",177,121,265,"2,8",3,708,"0,79","4,2",Leguminosas e derivados
"emoço, em conserva",121,"11,1","3,8",,"12,4","14,4",16,4,40,"0,3",1809,5,"0,27","0,6",Leguminosas e derivados
"Amêndoa, torrada, salgada",581,"18,6","47,3",,"29,5","11,6",237,222,493,"3,1",279,640,"0,93","2,6",Nozes e sementes
"Castanha-de-caju, torrada, salgada",570,"18,5","46,3",,"29,1","3,7",33,237,594,"5,2",125,671,"1,92","4,7",Nozes e sementes
"Castanha-do-Brasil, crua",643,"14,5","63,5",,"15,1","7,9",146,365,853,"2,3",1,651,"1,79","4,2",Nozes e sementes
"Coco, cru",406,"3,7","42,0",,"10,4","5,4",6,51,118,"1,8",15,354,"0,45","0,9",Nozes e sementes
"Coco,  verde, cru",*,*,*,*,*,*,*,*,*,*,*,*,*,*,Nozes e sementes
"Farinha, de mesocarpo de babaçu, crua",329,"1,4","0,2",,"79,2","17,9",61,39,26,"18,3",12,362,"0,22","0,3",Nozes e sementes
"Gergelim, semente",584,"21,2","50,4",,"21,6","11,9",825,361,741,"5,4",3,546,"1,51","5,2",Nozes e sementes
"Linhaça, semente",495,"14,1","32,3",,"43,3","33,5",211,347,615,"4,7",9,869,"1,09","4,4",Nozes e sementes
"Pinhão, cozido",174,"3,0","0,7",,"43,9","15,6",16,53,166,"0,8",1,727,"0,18","0,8",Nozes e sementes
"Pupunha, cozida",219,"2,5","12,8",,"29,6","4,3",28,25,49,"0,5",1,303,"0,28","0,3",Nozes e sementes
"Noz, crua",620,"14,0","59,4",,"18,4","7,2",105,153,396,"2,0",5,533,"0,75","2,1",Nozes e sementes
